date,year,month,day,competition.slug,competition.string,home.team,away.team,matchup,rmd.link,match.csv.link,stats.csv.link,notes,round,location.data
2/15/16,2016,2,15,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA,PUR,USA-PUR,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-pur-021516.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-pur-021516.csv,,,no
2/19/16,2016,2,19,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA,TRI,USA-TRI,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-tri-021916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-tri-021916.csv,,,no
2/22/16,2016,2,21,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA,CAN,USA-CAN,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-can-022116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympic-qualifiers-concacaf/2016-olympic-qualifiers-concacaf-usa-can-022116.csv,final,,yes
,,,,shebelieves-cup-2016,SheBelieves Cup 2016,,,All,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-all.csv,,,inc
3/3/16,2016,3,3,shebelieves-cup-2016,SheBelieves Cup 2016,USA,ENG,USA-ENG,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/shebelieves-cup-2016/shebelieves-cup-2016-usa-eng-030316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-usa-eng-030316.csv,,,yes
3/6/16,2016,3,6,shebelieves-cup-2016,SheBelieves Cup 2016,USA,FRA,USA-FRA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/shebelieves-cup-2016/shebelieves-cup-2016-usa-fra-030616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-usa-fra-030616.csv,,,yes
3/6/16,2016,3,6,shebelieves-cup-2016,SheBelieves Cup 2016,ENG,GER,ENG-GER,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/shebelieves-cup-2016/shebelieves-cup-2016-eng-ger-030616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-eng-ger-030616.csv,,,no
3/9/16,2016,3,9,shebelieves-cup-2016,SheBelieves Cup 2016,ENG,FRA,ENG-FRA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/shebelieves-cup-2016/shebelieves-cup-2016-eng-fra-030916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-eng-fra-030916.csv,,,no
3/9/16,2016,3,9,shebelieves-cup-2016,SheBelieves Cup 2016,USA,GER,USA-GER,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/shebelieves-cup-2016/shebelieves-cup-2016-usa-ger-030916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/shebelieves-cup-2016/shebelieves-cup-2016-usa-ger-030916.csv,,,yes
8/3/16,2016,8,3,2016-olympics,2016 Rio Olympics,USA,NZL,USA-NZL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympics/2016-olympics-usa-nzl-080316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympics/2016-olympics-usa-nzl-080316.csv,,,no
8/6/16,2016,8,6,2016-olympics,2016 Rio Olympics,USA,FRA,USA-FRA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympics/2016-olympics-usa-fra-080616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympics/2016-olympics-usa-fra-080616.csv,,,no
8/9/16,2016,8,9,2016-olympics,2016 Rio Olympics,USA,COL,USA-COL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympics/2016-olympics-usa-col-080916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympics/2016-olympics-usa-col-080916.csv,,,no
8/12/16,2016,8,12,2016-olympics,2016 Rio Olympics,USA,SWE,USA-SWE,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/2016-olympics/2016-olympics-usa-swe-081216.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/2016-olympics/2016-olympics-usa-swe-081216.csv,,,yes
4/6/16,2016,4,6,international-friendlies-2016,International Friendlies 2016,USA,COL,USA-COL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-col-040616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-col-040616.csv,,,yes
4/10/16,2016,4,10,international-friendlies-2016,International Friendlies 2016,USA,COL,USA-COL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-col-041016.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-col-041016.csv,,,no
6/2/16,2016,6,2,international-friendlies-2016,International Friendlies 2016,USA,JPN,USA-JPN,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-jpn-060216.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-jpn-060216.csv,,,yes
6/5/16,2016,6,5,international-friendlies-2016,International Friendlies 2016,USA,JPN,USA-JPN,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-jpn-060516.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-jpn-060516.csv,,,yes
7/9/16,2016,7,9,international-friendlies-2016,International Friendlies 2016,USA,RSA,USA-RSA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-rsa-070916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-rsa-070916.csv,,,no
7/22/16,2016,7,22,international-friendlies-2016,International Friendlies 2016,USA,CRC,USA-CRC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-crc-072216.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-crc-072216.csv,,,no
10/19/16,2016,10,19,international-friendlies-2016,International Friendlies 2016,USA,SUI,USA-SUI,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-sui-101916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-sui-101916.csv,,,no
10/23/16,2016,10,23,international-friendlies-2016,International Friendlies 2016,USA,SUI,USA-SUI,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/2016-international-friendly-usa-sui-102316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/international-friendlies-2016/2016-international-friendly-usa-sui-102316.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Season,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-season.csv,,,inc
,,,,nwsl-2016,NWSL 2016,,,Week 1,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-1.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 2,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-2.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 3,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-3.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 4,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-4.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 5,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-5.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 6,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-6.csv,,,yes
,,,,nwsl-2016,NWSL 2016,,,Week 7,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-7.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 8,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-8.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 9,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-9.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 10,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-10.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 11,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-11.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 12,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-12.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 13,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-13.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 14,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-14.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 15,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-15.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 16,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-16.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 17,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-17.csv,,,no
,,,,nwsl-2016,NWSL 2016,,,Week 19,,NA,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-week-19.csv,,,no
4/16/16,2016,4,16,nwsl-2016,NWSL 2016,WAS,BOS,WAS-BOS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-was-bos-041616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-was-bos-041616.csv,,week-1,yes
4/16/16,2016,4,16,nwsl-2016,NWSL 2016,HOU,CRS,HOU-CRS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-hou-crs-041616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-hou-crs-041616.csv,,week-1,yes
4/16/16,2016,4,16,nwsl-2016,NWSL 2016,FCKC,WNYF,FCKC-WNYF,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-fckc-wnyf-041616.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-fckc-wnyf-041616.csv,,week-1,yes
4/17/16,2016,4,17,nwsl-2016,NWSL 2016,PTFC,ORL,PTFC-ORL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-ptfc-orl-041716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-ptfc-orl-041716.csv,,week-1,yes
4/17/16,2016,4,17,nwsl-2016,NWSL 2016,SRFC,SBFC,SRFC-SBFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-srfc-sbfc-041716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-srfc-sbfc-041716.csv,,week-1,yes
4/23/16,2016,4,23,nwsl-2016,NWSL 2016,CRS,WNYF,CRS-WNYF,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-crs-wnyf-042316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-crs-wnyf-042316.csv,,week-2,yes
4/23/16,2016,4,23,nwsl-2016,NWSL 2016,FCKC,PTFC,FCKC-PTFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-fckc-ptfc-042316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-fckc-ptfc-042316.csv,,week-2,yes
4/23/16,2016,4,23,nwsl-2016,NWSL 2016,ORL,HOU,ORL-HOU,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-orl-hou-042316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-orl-hou-042316.csv,,week-2,yes
4/24/16,2016,4,24,nwsl-2016,NWSL 2016,SBFC,WAS,SBFC-WAS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-sbfc-was-042416.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-sbfc-was-042416.csv,,week-2,yes
4/24/16,2016,4,24,nwsl-2016,NWSL 2016,BOS,SRFC,BOS-SRFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-bos-srfc-042416.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-bos-srfc-042416.csv,,week-2,yes
4/29/16,2016,4,29,nwsl-2016,NWSL 2016,HOU,SBFC,HOU-SBFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-hou-sbfc-042916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-hou-sbfc-042916.csv,,week-3,yes
4/29/16,2016,4,29,nwsl-2016,NWSL 2016,WNYF,WAS,WNYF-WAS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-wnyf-was-042916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-wnyf-was-042916.csv,,week-3,yes
5/1/16,2016,5,1,nwsl-2016,NWSL 2016,BOS,PTFC,BOS-PTFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-bos-ptfc-050116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-bos-ptfc-050116.csv,,week-3,yes
5/1/16,2016,5,1,nwsl-2016,NWSL 2016,CRS,ORL,CRS-ORL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-crs-orl-050116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-crs-orl-050116.csv,,week-3,yes
5/1/16,2016,5,1,nwsl-2016,NWSL 2016,SRFC,FCKC,SRFC-FCKC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-srfc-fckc-050116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-srfc-fckc-050116.csv,,week-3,yes
5/7/16,2016,5,7,nwsl-2016,NWSL 2016,BOS,CRS,BOS-CRS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-bos-crs-050716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-bos-crs-050716.csv,,week-4,yes
5/7/16,2016,5,7,nwsl-2016,NWSL 2016,WAS,PTFC,WAS-PTFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-was-ptfc-050716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-was-ptfc-050716.csv,,week-4,yes
5/7/16,2016,5,7,nwsl-2016,NWSL 2016,SBFC,WNYF,SBFC-WNYF,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-sbfc-wnyf-050716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-sbfc-wnyf-050716.csv,,week-4,yes
5/7/16,2016,5,7,nwsl-2016,NWSL 2016,FCKC,HOU,FCKC-HOU,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-fckc-hou-050716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-fckc-hou-050716.csv,,week-4,yes
5/8/16,2016,5,8,nwsl-2016,NWSL 2016,ORL,SRFC,ORL-SRFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-orl-srfc-050816.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-orl-srfc-050816.csv,,week-4,yes
5/13/16,2016,5,13,nwsl-2016,NWSL 2016,SBFC,BOS,SBFC-BOS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-sbfc-bos-051316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-sbfc-bos-051316.csv,,week-5,yes
5/13/16,2016,5,13,nwsl-2016,NWSL 2016,FCKC,CRS,FCKC-CRS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-fckc-crs-051316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-fckc-crs-051316.csv,,week-5,yes
5/14/16,2016,5,14,nwsl-2016,NWSL 2016,SRFC,PTFC,SRFC-PTFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-srfc-ptfc-051416.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-srfc-ptfc-051416.csv,,week-5,yes
5/14/16,2016,5,14,nwsl-2016,NWSL 2016,WAS,HOU,WAS-HOU,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-was-hou-051416.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-was-hou-051416.csv,,week-5,yes
5/14/16,2016,5,14,nwsl-2016,NWSL 2016,ORL,WNYF,ORL-WNYF,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-orl-wnyf-051416.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-orl-wnyf-051416.csv,,week-5,yes
5/20/16,2016,5,20,nwsl-2016,NWSL 2016,HOU,ORL,HOU-ORL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-hour-orl-052016.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-hou-orl-052016.csv,,week-6,yes
5/21/16,2016,5,21,nwsl-2016,NWSL 2016,WNYF,SBFC,WNYF-SBFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-wnyf-sbfc-052116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-wnyf-sbfc-052116.csv,,week-6,yes
5/21/16,2016,5,21,nwsl-2016,NWSL 2016,PTFC,WAS,PTFC-WAS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-ptfc-was-052116.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-ptfc-was-052116.csv,,week-6,yes
5/22/16,2016,5,22,nwsl-2016,NWSL 2016,SRFC,CRS,SRFC-CRS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-srfc-crs-052216.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-srfc-crs-052216.csv,,week-6,yes
5/22/16,2016,5,22,nwsl-2016,NWSL 2016,BOS,FCKC,BOS-FCKC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-bos-fckc-052216.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-bos-fckc-052216.csv,,week-6,yes
5/27/16,2016,5,27,nwsl-2016,NWSL 2016,WNYF,BOS,WNYF-BOS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-wnyf-bos-052716.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-wnyf-bos-052716.csv,,week-7,no
5/28/16,2016,5,28,nwsl-2016,NWSL 2016,FCKC,ORL,FCKC-ORL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-fckc-orl-052816.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-fckc-orl-052816.csv,,week-7,yes
5/29/16,2016,5,29,nwsl-2016,NWSL 2016,CRS,SBFC,CRS-SBFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2016/nwsl-2016-crs-sbfc-052916.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/analysis/csv/matches/tables/nwsl-2016/nwsl-2016-crs-sbfc-052916.csv,,week-7,yes
