"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","SOG.GK.Stop","SOG.Def.Stop","Shots.Missed","Shots.Pressured","Pct.of.Shots.Pressured","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Further.Shots","Assists","All.Key.Passes","Key.Passes.to.Goals","Key.Assists","Second.Assists","Unscored.Key.Passes","Big.Chances","BC.Scored","BC.Scored.Pct","BC.SOG","BC.Missed","BC.Dispossessed","Crosses.Completed","Cross.Comp.Pct","Cross.Attempts","Crosses.from.Corner","Crosses.from.Far","Through.Balls.Completed","Through.Ball.Pct","Through.Ball.Attempts","Passes.Completed","Pass.Comp.Pct","Pass.Attempts","Pct.of.Pass.Att.Fwd","Pct.of.Pass.Att.Side","Pct.of.Pass.Att.Back","Fwd.Pass.Comp","Fwd.Pass.Att","Fwd.Pass.Comp.Pct","Side.Pass.Comp","Side.Pass.Att","Side.Pass.Comp.Pct","Back.Pass.Comp","Back.Pass.Att","Back.Pass.Comp.Pct","Pct.of.Passes.Under.Pressure","Passes.Completed.Under.Pressure","Pass.Comp.Pct.Under.Pressure","Pass.Attempts.Under.Pressure","Pct.of.Pressed.Pass.Att.Fwd","Pct.of.Pressed.Pass.Att.Side","Pct.of.Pressed.Pass.Att.Back","Fwd.Pressed.Pass.Comp","Fwd.Pressed.Pass.Att","Fwd.Pressed.Pass.Comp.Pct","Side.Pressed.Pass.Comp","Side.Pressed.Pass.Att","Side.Pressed.Pass.Comp.Pct","Back.Pressed.Pass.Comp","Back.Pressed.Pass.Att","Back.Pressed.Pass.Comp.Pct","Take.Ons.Won","Take.On.Win.Pct","Take.On.Attempts","Take.Ons.Lost","Dispossessed.by.Opp","Lost.Touches","Aerial.Duels.Won","Aerial.Duels.Win.Pct","Total.Aerial.Duels","Tackles","Dribbled.by.Opp","Pressured.Opp","Challenged.Opp","Dispossessed.Opp","Recoveries","Interceptions","Blocks","Clearances","Balls.Shielded","Saves","Goals.Allowed","High.Balls.Won","High.Balls.Lost","High.Balls.Caught","High.Balls.Punched.Away","High.Balls.Parried","High.Balls.Collected","High.Ball.Fouls.Won","Crosses.High.Balls.Won","Corner.Kick.High.Balls.Won","Free.Kick.High.Balls.Won","Smothers.Won","Smothers.Lost"
"Klingenberg","USA",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,15,0.833333333333333,18,0.666666666666667,0.222222222222222,0.111111111111111,9,12,0.75,4,4,1,2,2,1,0.333333333333333,5,0.833333333333333,6,0.333333333333333,0.5,0.166666666666667,1,2,0.5,3,3,1,1,1,1,1,0.5,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krieger","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,48,0.842105263157895,57,0.666666666666667,0.263157894736842,0.0701754385964912,30,38,0.789473684210526,14,15,0.933333333333333,4,4,1,0.087719298245614,5,1,5,0.8,0,0.2,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0.5,6,0,0,0,1,0,13,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lloyd","USA",47,1,1,3,0.333333333333333,0,0,2,1,0.333333333333333,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0.885714285714286,35,0.485714285714286,0.285714285714286,0.228571428571429,13,17,0.764705882352941,10,10,1,8,8,1,0.542857142857143,18,0.947368421052632,19,0.368421052631579,0.315789473684211,0.315789473684211,6,7,0.857142857142857,6,6,1,6,6,1,1,1,1,0,1,0,4,0.8,5,0,0,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McCaffrey","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.375,8,7,1,1,0.25,4,32,0.761904761904762,42,0.333333333333333,0.30952380952381,0.357142857142857,9,14,0.642857142857143,8,13,0.615384615384615,15,15,1,0.428571428571429,13,0.722222222222222,18,0.388888888888889,0.277777777777778,0.333333333333333,4,7,0.571428571428571,3,5,0.6,6,6,1,10,0.666666666666667,15,5,0,1,0,0,3,0,2,10,5,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendez","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.48,25,0.8,0.2,0,8,20,0.4,4,5,0.8,0,0,0,0.44,6,0.545454545454545,11,0.636363636363636,0.363636363636364,0,3,7,0.428571428571429,3,4,0.75,0,0,0,0,0,0,0,0,0,5,0.833333333333333,6,4,9,13,2,2,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mewis","USA",94,1,1,7,0.571428571428571,3,0,3,3,0.428571428571429,2,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.333333333333333,3,65,0.866666666666667,75,0.52,0.24,0.24,29,39,0.743589743589744,18,18,1,18,18,1,0.373333333333333,26,0.928571428571429,28,0.357142857142857,0.25,0.392857142857143,8,10,0.8,7,7,1,11,11,1,3,1,3,0,0,1,12,0.857142857142857,14,0,1,5,1,4,11,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan","USA",47,0,0,2,1,2,0,0,1,0.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.6,10,0.5,0.2,0.3,2,5,0.4,1,2,0.5,3,3,1,0.8,5,0.625,8,0.5,0.25,0.25,2,4,0.5,1,2,0.5,2,2,1,1,0.333333333333333,3,2,2,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naeher","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0.75,0.25,0,6,6,1,2,2,1,0,0,0,0.125,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"O'Hara","USA",94,1,1,2,0.5,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0.5,8,7,0,3,0.6,5,50,0.735294117647059,68,0.455882352941176,0.397058823529412,0.147058823529412,21,31,0.67741935483871,19,27,0.703703703703704,10,10,1,0.323529411764706,21,0.954545454545455,22,0.454545454545455,0.409090909090909,0.136363636363636,9,10,0.9,9,9,1,3,3,1,1,0.5,2,1,1,0,3,0.6,5,2,2,6,3,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pagan","PUR",73,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.714285714285714,7,0.571428571428571,0.142857142857143,0.285714285714286,2,4,0.5,1,1,1,2,2,1,0.571428571428571,4,1,4,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,1,0.5,2,1,2,0,1,0.25,4,0,4,21,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press","USA",76,1,1,5,0.2,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,24,0.827586206896552,29,0.379310344827586,0.344827586206897,0.275862068965517,8,11,0.727272727272727,8,10,0.8,8,8,1,0.517241379310345,13,0.866666666666667,15,0.333333333333333,0.466666666666667,0.2,5,5,1,5,7,0.714285714285714,3,3,1,2,0.5,4,2,1,0,1,0.5,2,0,0,7,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh","USA",70,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.666666666666667,3,3,0,2,0.4,5,34,0.80952380952381,42,0.452380952380952,0.19047619047619,0.357142857142857,12,19,0.631578947368421,7,8,0.875,15,15,1,0.476190476190476,15,0.75,20,0.45,0.3,0.25,5,9,0.555555555555556,5,6,0.833333333333333,5,5,1,12,0.857142857142857,14,2,1,0,0,0,4,0,0,6,5,2,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivera","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,10,0.7,0.3,0,4,7,0.571428571428571,3,3,1,0,0,0,0.4,3,0.75,4,1,0,0,3,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,15,3,0,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rodriguez","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.647058823529412,17,0.529411764705882,0.294117647058824,0.176470588235294,3,9,0.333333333333333,5,5,1,3,3,1,0.529411764705882,7,0.777777777777778,9,0.444444444444444,0.333333333333333,0.222222222222222,2,4,0.5,3,3,1,2,2,1,0,0,0,0,0,1,3,0.5,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Socarras","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4,0.5,0.25,0.25,0,2,0,0,1,0,1,1,1,0.25,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0.157894736842105,19,0,1,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonnett","USA",94,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.979591836734694,49,0.673469387755102,0.285714285714286,0.0408163265306122,32,33,0.96969696969697,14,14,1,2,2,1,0.0816326530612245,4,1,4,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,5,1,5,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suarez","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.75,20,0.45,0.15,0.4,5,9,0.555555555555556,2,3,0.666666666666667,8,8,1,0.6,9,0.75,12,0.5,0.0833333333333333,0.416666666666667,3,6,0.5,1,1,1,5,5,1,2,1,2,0,1,2,0,0,3,0,7,37,5,1,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zaragoza","PUR",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rodriquez","0",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,7,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
